🗼港澳台,#genre#
CCTV-1综合,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-1H265_hls_pull_4000K_live.m3u8
CCTV-1综合,http://tvpull.dxhmt.cn:9081/tv/11527-1.m3u8
CCTV-1综合,http://huaiyin-tv-hls.cm.jstv.com/huaiyin-tv/hyys.m3u8
CCTV-2财经,https://cctvwbndtxy.liveplay.myqcloud.com/cctvwbnd/jzcctv2_2/index.m3u8
CCTV-2财经,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-2H265_hls_pull_4000K_live.m3u8
CCTV-2财经,http://39.134.63.11:6610/PLTV/88888888/224/3221225588/index.m3u8?i
CCTV-2财经,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225762/1.m3u8
CCTV-3综艺,https://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv3_2/index.m3u8
CCTV-3综艺,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-3H265_hls_pull_4000K_live.m3u8
CCTV-3综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226398/1.m3u8
CCTV-3综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225782/1.m3u8
CCTV-3综艺,http://123.6.9.146/live/jz-cctv-3/live.m3u8
CCTV-4中文国际,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-4H265_hls_pull_4000K_live.m3u8
CCTV-4中文国际,http://39.134.63.11:6610/PLTV/88888888/224/3221226007/index.m3u8?i
CCTV-4中文国际,http://111.40.196.9/PLTV/88888888/224/3221225557/index.m3u8
CCTV-4中文国际,http://111.40.196.9/PLTV/88888888/224/3221225490/index.m3u8
CCTV-4中文国际,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225781/1.m3u8
CCTV-5体育,https://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv5_2/index.m3u8
CCTV-5体育,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-5H265_hls_pull_4000K_live.m3u8
CCTV-5体育,http://111.40.196.9/PLTV/88888888/224/3221225743/index.m3u8
CCTV-5体育,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225780/1.m3u8
CCTV-5体育,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226396/1.m3u8
